Name,Constituency,Party,Cases,Education,Assets,Liabilities
Alimuddin Ansari,KISHANGANJ,AAP,0,10th Pass,"36,77,032","1,05,000"
Alishan. S,MYSORE,IND,0,Post Graduate,"2,27,00,000",0
Alla Pichai,RAMANATHAPURAM,IND,0,Graduate,"1,85,13,000","5,00,000"
Allu Venkata Reddy,NARASARAOPET,Pyramid Party of India,0,Graduate Professional,"1,63,64,000","12,90,000"
Alluri Limba Reddy,NIZAMABAD,IND,0,Illiterate,"16,80,000",0
Aloori Anil Kumar,NIZAMABAD,IND,0,10th Pass,"5,53,000",0
Alpesh Vadoliya,PORBANDAR,IND,0,Graduate,"75,124",0
Alphons Kannanthanam,ERNAKULAM,BJP,1,Graduate,"11,58,36,275",0
Altaf Ahmed,HINGOLI,IUML,0,Graduate,"67,26,405","5,80,000"
Aluva Aneesh,VADAKARA,IND,0,8th Pass,"51,68,226","7,50,000"
Amalan Rajiv Bonifas,THOOTHUKKUDI,IND,1,12th Pass,"19,53,000",0
Amandbhai,JAMNAGAR,IND,0,Literate,"4,60,000",0
Amar Bahadur,SAHARANPUR,IND,0,5th Pass,"77,22,000","8,85,528"
Amar Debbarma,TRIPURA EAST,IND,0,12th Pass,"7,44,404",0
Amar Singh Mahaur,ALIGARH,Swatantra Jantaraj Party,0,Graduate Professional,"20,44,500","4,74,336"
Amar Singh Rai,DARJEELING,AITC,2,Post Graduate,"1,70,51,116","1,20,000"
Amardas Desani,RAJKOT,IND,1,Post Graduate,"81,54,624",0
Amarjeet Kumar,BANKA,IND,4,12th Pass,"69,40,000","22,50,000"
Ambadas Shamrao Wankhade,AMRAVATI,IND,0,8th Pass,"8,79,500",0
Ambala Mahendar	,PEDDAPALLE,IND,0,12th Pass,0,0
Ambedkar Prakash Yashwant,AKOLA,Vanchit Bahujan Aaghadi,0,Graduate Professional,"5,87,22,916",0
Ambedkari Hasnuram Ambedkari,AGRA,IND,1,Literate,"1,200","85,000"
Amberkar Pandharinath Vidyadhar,RATNAGIRI SINDHUDURG,IND,1,8th Pass,"56,21,192",0
Ambikapathi D,NAGAPATTINAM,"Makkal Sananayaga Kudiyarasu Katchi,",0,12th Pass,"87,000",0
Ambresh Kencha,BIDAR,Uttama Prajaakeeya Party,0,Graduate,"1,73,81,000","9,26,000"
Ambrish Kumar,HARIDWAR,INC,0,Post Graduate,"85,48,506",0
Ambrose D Mello,BANGALORE SOUTH,IND,0,Post Graduate,"70,000",0
Ameen Peeran Shaik,KADAPA,Ambedkar National Congress,0,Post Graduate,"83,993","9,000"
Amichand,NAGINA,Rashtriya Samanta Dal,0,8th Pass,"16,00,000",0
Amir Nayak,KANDHAMAL,BSP,0,Post Graduate,0,0
Amirtha Jai Kumar Essac Yesaiah,BANGALORE NORTH,Karnataka Karmikara Paksha,0,Others,"2,13,000",0
Amit Atmaram Korgaonkar,NORTH GOA,Republican Party of India (Kamble),0,Graduate,"3,63,895","1,05,000"
Amit Shah,GANDHINAGAR,BJP,4,12th Pass,"40,32,75,307","47,69,587"
Amit Sharma,GHAZIABAD,IND,0,10th Pass,"47,75,000","3,41,233"
